,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
10,0,0.01453767,0,0,0.003177123,0.004506295,0,0.009119353,0.002965396,0,0,0,0.005362767,0.005661401,0.002885413,0,0.00471684,0,0.00751858,0.004504959
15,0.006749428,0.006924959,0.00127775,0.007592029,0,0,0,0.003330089,0,0.002842052,0,0,0.004583746,0,0.005512605,0,0,0.001812014,0,0
20,0.002975154,0,0,0,0,0,0,0.003953961,0,0,0,0,0.005314478,0.00257365,0.011121028,0,0,0.005900568,0,0
25,0,0.003126047,0,0.002733673,0,0,0,0,0,0,0,0,0.008556292,0,0.005463396,0,0,0,0,0
