data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,obj_val,obj_bound,gap,time,,rel_gap
IEEE118_P_100_10,20,TIME_LIMIT,1607.059458,1605.096814,0.001221264,60.02556038,20,,1605.843993,1605.826447,1.09E-05,6.430305481,,0.1%
IEEE118_P_100_10,25,OPTIMAL,1605.846505,1605.826447,1.25E-05,6.450828552,25,,1605.872502,1605.096814,0.000483033,60.01123047,,0.0%
IEEE118_P_100_11,10,OPTIMAL,1482.752111,1482.749307,1.89E-06,39.24918938,10,,1482.874941,1482.749307,8.47E-05,2.350471497,,0.0%
IEEE118_P_100_11,15,OPTIMAL,1482.86216,1482.749307,7.61E-05,2.923389435,12,,1482.749872,1482.749307,3.82E-07,2.105768204,,0.0%
IEEE118_P_100_11,20,OPTIMAL,1482.849832,1482.749307,6.78E-05,8.279338837,20,,1482.830941,1482.749307,5.51E-05,3.895303726,,0.0%
IEEE118_P_100_11,25,OPTIMAL,1482.845799,1482.749307,6.51E-05,2.727499008,25,,1482.884834,1482.749307,9.14E-05,2.457017899,,0.0%
IEEE118_P_100_12,10,OPTIMAL,1456.884478,1456.818293,4.54E-05,24.47404099,10,,1456.834189,1456.818293,1.09E-05,2.457872391,,0.0%
IEEE118_P_100_12,15,TIME_LIMIT,1463.028575,1456.818293,0.004244813,60.0318222,15,,1456.909166,1456.818293,6.24E-05,3.467124939,,0.4%
IEEE118_P_100_12,20,OPTIMAL,1456.87202,1456.818293,3.69E-05,13.84810257,20,,1456.944236,1456.818293,8.64E-05,7.450544357,,0.0%
IEEE118_P_100_12,25,OPTIMAL,1456.825718,1456.818293,5.10E-06,8.543922424,22,,1456.82714,1456.818293,6.07E-06,2.158117294,,0.0%
IEEE118_P_100_13,10,OPTIMAL,1492.935212,1492.875626,3.99E-05,23.28821754,10,,1492.935212,1492.875626,3.99E-05,12.78715324,,0.0%
IEEE118_P_100_13,15,TIME_LIMIT,1510.400035,1484.928915,0.016863824,60.01086044,15,,1492.894033,1484.928915,0.005335354,60.01243782,,1.2%
IEEE118_P_100_13,20,TIME_LIMIT,1492.875677,1484.928915,0.005323123,60.00792694,18.00000412,,1492.879891,1484.928915,0.005325931,60.01780128,,0.0%
IEEE118_P_100_13,25,OPTIMAL,1489.194678,1489.141566,3.57E-05,35.50229836,25,,1489.262285,1489.141566,8.11E-05,28.30320549,,0.0%
