instance,gap
IEEE118_P_0.95_1,0.386348497788043
IEEE118_P_0.95_2,0.2797579566980612
IEEE118_P_0.95_3,0.40709890150910594
IEEE118_P_0.95_4,0.26506657839523884
IEEE118_P_0.95_5,0.3719028790215514
IEEE118_P_0.95_6,0.4121966571205621
IEEE118_P_0.95_7,0.4051694865715346
IEEE118_P_0.95_8,0.4092513048124358
IEEE118_P_0.95_9,0.28897994364959756
IEEE118_P_0.95_10,0.3266109078422549
IEEE118_P_0.95_11,0.4149595090302901
IEEE118_P_0.95_12,0.31827594253366426
IEEE118_P_0.95_13,0.383478688276325
IEEE118_P_0.95_14,0.27690783697122284
IEEE118_P_0.95_15,0.26342173535242397
IEEE118_P_0.95_16,0.4132082105258615
IEEE118_P_0.95_17,0.3684644911801653
IEEE118_P_0.95_18,0.4156752395140156
IEEE118_P_0.95_19,0.3098833144859891
IEEE118_P_0.95_20,0.3510461584311837
IEEE118_P_1.0_1,0.3394799364829412
IEEE118_P_1.0_2,0.3410556740302383
IEEE118_P_1.0_3,0.32969378597050647
IEEE118_P_1.0_4,0.3273233782110069
IEEE118_P_1.0_5,0.3151899049766137
IEEE118_P_1.0_6,0.32977224008368317
IEEE118_P_1.0_7,0.28916945985288517
IEEE118_P_1.0_8,0.3347240485820118
IEEE118_P_1.0_9,0.32308454612090065
IEEE118_P_1.0_10,0.31709205420934283
IEEE118_P_1.0_11,0.3076344722624262
IEEE118_P_1.0_12,0.3375498466650715
IEEE118_P_1.0_13,0.3420685352684835
IEEE118_P_1.0_14,0.3300846226011581
IEEE118_P_1.0_15,0.3147647720112622
IEEE118_P_1.0_16,0.311906533727213
IEEE118_P_1.0_17,0.30763174822594175
IEEE118_P_1.0_18,0.3357664850021372
IEEE118_P_1.0_19,0.3421593998376772
IEEE118_P_1.0_20,0.3237047783209628
IEEE118_P_1.05_1,0.2538858162937788
IEEE118_P_1.05_2,0.2670266737686547
IEEE118_P_1.05_3,0.2521900601030936
IEEE118_P_1.05_6,0.23613250322120255
IEEE118_P_1.05_7,0.2719357678665341
IEEE118_P_1.05_8,0.27765207352485294
IEEE118_P_1.05_9,0.27698229483489367
IEEE118_P_1.05_14,0.28581104776531274
IEEE118_P_1.05_15,0.2612127812000112
IEEE118_P_1.05_16,0.2808872699708575
IEEE118_P_1.05_17,0.26369487298635635
IEEE118_P_1.05_18,0.26915089608855775
IEEE118_P_1.05_19,0.2501667279847521
