,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
10,0.004765883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0.006432174,0.004062754,0,0,0,0.005321353,0.002428878,0,0,0,0.00247731,0.001867449,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0.005132538,0,0,0,0,0,0,0
25,0,0.002560143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
