data_instance,max_path,max_edge,time
IEEE118_P_0.95_63,23,3,36.407
IEEE118_P_0.95_63,23,5,37.082
IEEE118_P_0.95_63,23,7,37.325
IEEE118_P_0.95_64,23,3,31.097
IEEE118_P_0.95_64,23,5,30.372
IEEE118_P_0.95_64,23,7,30.535
IEEE118_P_0.95_65,23,3,36.345
IEEE118_P_0.95_65,23,5,36.651
IEEE118_P_0.95_65,23,7,36.545
IEEE118_P_0.95_66,23,3,26.224
IEEE118_P_0.95_66,23,5,28.455
IEEE118_P_0.95_66,23,7,28.082
IEEE118_P_0.95_67,23,3,35.336
IEEE118_P_0.95_67,23,5,33.957
IEEE118_P_0.95_67,23,7,35.299
IEEE118_P_0.95_68,23,3,37.301
IEEE118_P_0.95_68,23,5,37.733
IEEE118_P_0.95_68,23,7,37.671
IEEE118_P_0.95_69,23,3,36.546
IEEE118_P_0.95_69,23,5,36.732
IEEE118_P_0.95_69,23,7,37.245
IEEE118_P_0.95_70,23,3,36.484
IEEE118_P_0.95_70,23,5,35.541
IEEE118_P_0.95_70,23,7,35.597
IEEE118_P_0.95_71,23,3,36.449
IEEE118_P_0.95_71,23,5,35.438
IEEE118_P_0.95_71,23,7,35.605
IEEE118_P_0.95_72,23,3,36.915
IEEE118_P_0.95_72,23,5,36.976
IEEE118_P_0.95_72,23,7,37.371
IEEE118_P_0.95_73,23,3,30.311
IEEE118_P_0.95_73,23,5,28.663
IEEE118_P_0.95_73,23,7,28.904
IEEE118_P_0.95_74,23,3,28.065
IEEE118_P_0.95_74,23,5,28.721
IEEE118_P_0.95_74,23,7,29.25
IEEE118_P_0.95_75,23,3,36.52
IEEE118_P_0.95_75,23,5,36.536
IEEE118_P_0.95_75,23,7,36.957
IEEE118_P_0.95_76,23,3,35.258
IEEE118_P_0.95_76,23,5,34.322
IEEE118_P_0.95_76,23,7,35.212
IEEE118_P_0.95_77,23,3,31.654
IEEE118_P_0.95_77,23,5,32.961
IEEE118_P_0.95_77,23,7,31.714
IEEE118_P_0.95_78,23,3,38.267
IEEE118_P_0.95_78,23,5,36.854
IEEE118_P_0.95_78,23,7,37.42
IEEE118_P_0.95_79,23,3,27.289
IEEE118_P_0.95_79,23,5,28.847
IEEE118_P_0.95_79,23,7,27.524
IEEE118_P_0.95_80,23,3,36.372
IEEE118_P_0.95_80,23,5,35.643
IEEE118_P_0.95_80,23,7,35.815
IEEE118_P_0.95_81,23,3,36.361
IEEE118_P_0.95_81,23,5,35.435
IEEE118_P_0.95_81,23,7,35.715
IEEE118_P_0.95_82,23,3,36.911
IEEE118_P_0.95_82,23,5,36.204
IEEE118_P_0.95_82,23,7,36.084
IEEE118_P_0.95_83,23,3,27.485
IEEE118_P_0.95_83,23,5,28.2
IEEE118_P_0.95_83,23,7,28.696
IEEE118_P_0.95_84,23,3,26.944
IEEE118_P_0.95_84,23,5,28.059
IEEE118_P_0.95_84,23,7,29.217
IEEE118_P_0.95_85,23,3,37.234
IEEE118_P_0.95_85,23,5,36.031
IEEE118_P_0.95_85,23,7,37.323
IEEE118_P_0.95_86,23,3,39.224
IEEE118_P_0.95_86,23,5,39.402
IEEE118_P_0.95_86,23,7,39.511
IEEE118_P_0.95_87,23,3,35.097
IEEE118_P_0.95_87,23,5,33.54
IEEE118_P_0.95_87,23,7,34.873
IEEE118_P_0.95_88,23,3,31.493
IEEE118_P_0.95_88,23,5,30.231
IEEE118_P_0.95_88,23,7,29.946
IEEE118_P_0.95_89,23,3,34.835
IEEE118_P_0.95_89,23,5,34.16
IEEE118_P_0.95_89,23,7,35.387
IEEE118_P_0.95_90,23,3,30.435
IEEE118_P_0.95_90,23,5,31.024
IEEE118_P_0.95_90,23,7,31.556
IEEE118_P_0.95_91,23,3,35.513
IEEE118_P_0.95_91,23,5,34.394
IEEE118_P_0.95_91,23,7,34.431
IEEE118_P_0.95_92,23,3,26.887
IEEE118_P_0.95_92,23,5,27.037
IEEE118_P_0.95_92,23,7,27.378
IEEE118_P_0.95_93,23,3,34.966
IEEE118_P_0.95_93,23,5,35.051
IEEE118_P_0.95_93,23,7,35.242
IEEE118_P_0.95_94,23,3,26.937
IEEE118_P_0.95_94,23,5,27.472
IEEE118_P_0.95_94,23,7,27.853
IEEE118_P_0.95_95,23,3,34.129
IEEE118_P_0.95_95,23,5,34.216
IEEE118_P_0.95_95,23,7,34.493
IEEE118_P_0.95_96,23,3,27.495
IEEE118_P_0.95_96,23,5,28.396
IEEE118_P_0.95_96,23,7,28.896
IEEE118_P_0.95_97,23,3,31.965
IEEE118_P_0.95_97,23,5,33.016
IEEE118_P_0.95_97,23,7,33.727
IEEE118_P_0.95_98,23,3,36.223
IEEE118_P_0.95_98,23,5,36.601
IEEE118_P_0.95_98,23,7,38.003
IEEE118_P_0.95_99,23,3,37.016
IEEE118_P_0.95_99,23,5,36.664
IEEE118_P_0.95_99,23,7,36.117
IEEE118_P_0.95_100,23,3,30.618
IEEE118_P_0.95_100,23,5,30.206
IEEE118_P_0.95_100,23,7,30.088
IEEE118_P_1.0_21,23,3,37.332
IEEE118_P_1.0_21,23,5,34.763
IEEE118_P_1.0_21,23,7,35.461
IEEE118_P_1.0_22,23,3,39.148
IEEE118_P_1.0_22,23,5,34.999
IEEE118_P_1.0_22,23,7,34.252
IEEE118_P_1.0_23,23,3,39.3
IEEE118_P_1.0_23,23,5,33.903
IEEE118_P_1.0_23,23,7,33.384
IEEE118_P_1.0_24,23,3,51.968
IEEE118_P_1.0_24,23,5,43.353
IEEE118_P_1.0_24,23,7,44.627
IEEE118_P_1.0_25,23,3,40.697
IEEE118_P_1.0_25,23,5,36.811
IEEE118_P_1.0_25,23,7,37.667
IEEE118_P_1.0_26,23,3,38.55
IEEE118_P_1.0_26,23,5,35.977
IEEE118_P_1.0_26,23,7,36.564
IEEE118_P_1.0_27,23,3,43.103
IEEE118_P_1.0_27,23,5,35.391
IEEE118_P_1.0_27,23,7,35.537
IEEE118_P_1.0_28,23,3,38.085
IEEE118_P_1.0_28,23,5,31.766
IEEE118_P_1.0_28,23,7,31.55
IEEE118_P_1.0_29,23,3,34.602
IEEE118_P_1.0_29,23,5,31.251
IEEE118_P_1.0_29,23,7,32.12
IEEE118_P_1.0_30,23,3,37.774
IEEE118_P_1.0_30,23,5,31.011
IEEE118_P_1.0_30,23,7,31.115
IEEE118_P_1.0_31,23,3,39.751
IEEE118_P_1.0_31,23,5,33.237
IEEE118_P_1.0_31,23,7,33.596
IEEE118_P_1.0_32,23,3,38.063
IEEE118_P_1.0_32,23,5,34.031
IEEE118_P_1.0_32,23,7,34.856
IEEE118_P_1.0_33,23,3,47.881
IEEE118_P_1.0_33,23,5,40.527
IEEE118_P_1.0_33,23,7,41.791
IEEE118_P_1.0_34,23,3,39.548
IEEE118_P_1.0_34,23,5,34.953
IEEE118_P_1.0_34,23,7,35.259
IEEE118_P_1.0_35,23,3,38.482
IEEE118_P_1.0_35,23,5,32.316
IEEE118_P_1.0_35,23,7,31.42
IEEE118_P_1.0_36,23,3,40.799
IEEE118_P_1.0_36,23,5,34.571
IEEE118_P_1.0_36,23,7,35.267
IEEE118_P_1.0_37,23,3,41.027
IEEE118_P_1.0_37,23,5,36.98
IEEE118_P_1.0_37,23,7,37.795
IEEE118_P_1.0_38,23,3,49.24
IEEE118_P_1.0_38,23,5,44.385
IEEE118_P_1.0_38,23,7,45.569
IEEE118_P_1.0_39,23,3,44.551
