data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,obj_val,obj_bound,gap,time,,rel_gap
IEEE118_P_100_19,45,TIME_LIMIT,1587.003793,1586.265431,0.000465255,60.03241539,38.00000118,,1587.017016,1586.965437,3.25E-05,16.51994896,,0.0%
IEEE118_P_100_20,45,OPTIMAL,1457.462094,1457.453619,5.81E-06,4.75881958,40,,1457.459462,1457.453619,4.01E-06,3.24054718,,0.0%
IEEE118_P_105_1,45,TIME_LIMIT,1864.760871,1861.057184,0.001986146,60.03255272,41.0000015,,1864.099845,1864.099715,6.99E-08,21.97130013,,0.0%
IEEE118_P_105_2,45,OPTIMAL,1889.747049,1889.747049,0,14.25441933,32,,1889.748223,1888.680709,0.000564897,60.021698,,0.0%
IEEE118_P_105_3,45,TIME_LIMIT,1923.46262,1919.095899,0.00227024,60.01831818,34.00000191,,1919.89806,1919.742814,8.09E-05,4.260650635,,0.2%
IEEE118_P_105_4,45,TIME_LIMIT,1955.049383,1952.551886,0.00127746,60.03119659,38,,1955.051131,1955.048883,1.15E-06,7.341156006,,0.0%
IEEE118_P_105_5,45,TIME_LIMIT,1977.787092,1975.311472,0.001251712,60.0397892,42.0000033,,1977.829459,1977.82644,1.53E-06,6.222373962,,0.0%
IEEE118_P_105_6,45,OPTIMAL,1868.855233,1868.855194,2.06E-08,39.79491234,32,,1868.891097,1868.855194,1.92E-05,2.541967392,,0.0%
IEEE118_P_105_7,45,TIME_LIMIT,1754.656088,1754.427469,0.000130293,60.02326393,31.00000348,,1754.678483,1754.427469,0.000143054,60.01256561,,0.0%
IEEE118_P_105_8,45,OPTIMAL,1786.437953,1786.437953,0,29.9640789,41.00000029,,1786.442441,1786.439703,1.53E-06,14.71604729,,0.0%
IEEE118_P_105_9,45,OPTIMAL,1824.851622,1824.719402,7.25E-05,3.37975502,42,,1824.799286,1824.719402,4.38E-05,5.756822586,,0.0%
IEEE118_P_105_10,45,TIME_LIMIT,1893.741414,1891.756071,0.00104837,60.03004074,40.00000358,,1893.786303,1893.780868,2.87E-06,3.468263626,,0.0%
IEEE118_P_105_11,45,OPTIMAL,1969.33145,1969.142066,9.62E-05,39.20996475,37,,1969.332365,1969.165808,8.46E-05,20.37730408,,0.0%
IEEE118_P_105_12,45,OPTIMAL,2032.887017,2032.840794,2.27E-05,3.101747513,39,,2058.033979,2057.511392,0.000253926,60.03185081,,-1.2%
