data_instance,card,size_candi,time,obj_val,num_open,idx_rm_branch
IEEE118_P_1.05_1,45,2,0.051,2337.475521659993,0,
IEEE118_P_1.05_2,45,1,0.028,2394.3712690505713,0,
IEEE118_P_1.05_2,45,2,0.041,2394.3712690505713,0,
IEEE118_P_1.05_3,45,1,0.033,2405.6812324525204,0,
IEEE118_P_1.05_3,45,2,0.04,2405.6812324525204,0,
IEEE118_P_1.05_4,45,1,0.028,none,0,
IEEE118_P_1.05_4,45,2,0.013,none,0,
IEEE118_P_1.05_5,45,1,0.014,none,0,
IEEE118_P_1.05_5,45,2,0.014,none,0,
IEEE118_P_1.05_6,45,1,0.043,2346.488369723085,0,
IEEE118_P_1.05_6,45,2,0.058,2346.488369723085,0,
IEEE118_P_1.05_7,45,1,0.043,2232.2115617371487,0,
IEEE118_P_1.05_7,45,2,0.072,2232.2115617371487,0,
IEEE118_P_1.05_8,45,1,0.037,2283.541211301381,0,
IEEE118_P_1.05_8,45,2,0.077,2283.541211301381,0,
IEEE118_P_1.05_9,45,1,0.036,2331.554884500489,0,
IEEE118_P_1.05_9,45,2,0.051,2331.554884500489,0,
IEEE118_P_1.05_10,45,1,0.03,none,0,
IEEE118_P_1.05_10,45,2,0.022,none,0,
IEEE118_P_1.05_11,45,1,0.025,none,0,
IEEE118_P_1.05_11,45,2,0.013,none,0,
IEEE118_P_1.05_12,45,1,0.014,none,0,
IEEE118_P_1.05_12,45,2,0.014,none,0,
IEEE118_P_1.05_13,45,1,0.015,none,0,
IEEE118_P_1.05_13,45,2,0.014,none,0,
IEEE118_P_1.05_14,45,1,0.03,2249.2700090546473,0,
IEEE118_P_1.05_14,45,2,0.061,2249.2700090546473,0,
IEEE118_P_1.05_15,45,1,0.029,2388.4164615359896,0,
IEEE118_P_1.05_15,45,2,0.041,2388.4164615359896,0,
IEEE118_P_1.05_16,45,1,0.03,2336.619204713687,0,
IEEE118_P_1.05_16,45,2,0.041,2336.619204713687,0,
IEEE118_P_1.05_17,45,1,0.04,2271.72629584431,0,
IEEE118_P_1.05_17,45,2,0.042,2271.72629584431,0,
IEEE118_P_1.05_18,45,1,0.029,2320.4198932713166,0,
IEEE118_P_1.05_18,45,2,0.046,2320.4198932713166,0,
IEEE118_P_1.05_19,45,1,0.027,2378.7451891490186,0,
IEEE118_P_1.05_19,45,2,0.052,2378.7451891490186,0,
IEEE118_P_1.05_20,45,1,0.013,none,0,
IEEE118_P_1.05_20,45,2,0.013,none,0,
