data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,obj_val,obj_bound,gap,time,,
IEEE300_P_100_14,45,TIME_LIMIT,40289.49431,40279.14096,0.000256974,60.03072739,43,,40286.56414,40279.14096,0.00018426,60.02833366,,0.0%
IEEE300_P_100_15,45,TIME_LIMIT,41741.12243,39282.90705,0.058891933,60.04463005,41.00000253,,41761.88031,40596.13913,0.027914001,60.06917953,,0.0%
IEEE300_P_100_16,45,TIME_LIMIT,40564.83997,40535.83471,0.000715035,60.02827454,45,,40550.21723,40535.83471,0.000354684,60.05856323,,0.0%
IEEE300_P_100_17,45,TIME_LIMIT,39996.31745,39350.65285,0.016143101,60.02271843,45,,39969.6064,39959.6601,0.000248847,60.02378845,,0.1%
IEEE300_P_100_18,45,TIME_LIMIT,39248.47878,37936.45493,0.033428655,60.03219604,45,,39241.29639,39233.35185,0.000202454,60.05223083,,0.0%
IEEE300_P_100_19,45,TIME_LIMIT,40041.60639,39967.8567,0.001841826,60.02014923,45,,40044.33247,39533.46375,0.012757579,60.02995491,,0.0%
IEEE300_P_100_20,45,TIME_LIMIT,40497.66468,38442.93961,0.050736878,60.03698158,42.00000512,,40497.35677,40467.05916,0.000748138,60.03009605,,0.0%
IEEE300_P_105_1,45,TIME_LIMIT,50357.71089,49545.75869,0.016123692,60.02546692,45,,50206.02763,50197.87045,0.000162474,60.02404785,,0.3%
IEEE300_P_105_2,45,TIME_LIMIT,51717.63259,48843.81329,0.055567495,60.01601601,45,,51657.43732,51633.00689,0.000472931,60.02155304,,0.1%
IEEE300_P_105_3,45,TIME_LIMIT,51948.68231,51931.00891,0.000340209,60.02357292,44,,51933.75601,48155.69372,0.072747719,60.03639793,,0.0%
IEEE300_P_105_4,45,TIME_LIMIT,52004.07627,47416.01908,0.088224953,60.01704216,45,,51994.70199,51959.22457,0.000682327,60.03297043,,0.0%
IEEE300_P_105_5,45,TIME_LIMIT,49640.63078,49599.89487,0.000820616,60.02387619,45,,49618.6856,49599.89487,0.000378703,60.02016068,,0.0%
IEEE300_P_105_6,45,TIME_LIMIT,50875.48533,50838.15761,0.000733708,60.02922249,44,,50863.4924,50858.58076,9.66E-05,49.34862709,,0.0%
IEEE300_P_105_7,45,TIME_LIMIT,50852.87097,48133.1802,0.053481558,60.03534508,45,,50858.06775,46409.28375,0.087474499,60.03639221,,0.0%
IEEE300_P_105_8,45,TIME_LIMIT,51503.64955,50298.7885,0.023393702,60.02309608,45,,51410.38736,51374.31809,0.000701595,60.05099487,,0.2%
IEEE300_P_105_9,45,TIME_LIMIT,51248.77304,51203.17943,0.000889653,60.05465126,41,,51245.97088,51203.17943,0.000835021,60.03419876,,0.0%
IEEE300_P_105_10,45,TIME_LIMIT,50879.65002,50850.68727,0.00056924,60.03828049,44,,50876.26259,50850.68727,0.000502697,60.04048538,,0.0%
IEEE300_P_105_11,45,TIME_LIMIT,51621.73178,47295.95446,0.083797602,60.03612518,42,,51612.98511,51556.27796,0.001098699,60.04271317,,0.0%
IEEE300_P_105_12,45,TIME_LIMIT,53995.18378,53896.60577,0.001825682,60.03425789,45,,53959.97896,52253.95444,0.031616479,60.03325462,,0.1%
IEEE300_P_105_13,45,TIME_LIMIT,52340.13808,49527.5778,0.053736203,60.04193115,45,,52295.06733,52289.99197,9.71E-05,17.40659142,,0.1%
IEEE300_P_105_14,45,TIME_LIMIT,51891.8002,47264.72078,0.089167834,60.03587151,44,,51843.24852,51799.51698,0.000843534,60.02620316,,0.1%
IEEE300_P_105_15,45,TIME_LIMIT,51280.14945,51271.54446,0.000167803,60.03514099,45,,51279.19178,51271.54446,0.000149131,60.03397179,,0.0%
IEEE300_P_105_16,45,TIME_LIMIT,52529.78688,50666.40605,0.035472842,60.02040672,45,,52377.93361,52367.88743,0.000191802,60.03339386,,0.3%
IEEE300_P_105_17,45,TIME_LIMIT,51974.77422,51942.64642,0.000618142,60.02461052,45,,51944.36406,51912.75284,0.000608559,60.04992485,,0.1%
IEEE300_P_105_18,45,TIME_LIMIT,52919.29971,52857.20152,0.001173451,60.01868439,45,,52906.22285,52905.60543,1.17E-05,54.35148811,,0.0%
IEEE300_P_105_19,45,TIME_LIMIT,48944.15518,48930.3992,0.000281055,60.03580093,44,,48935.98226,48908.289,0.000565908,60.02326775,,0.0%
IEEE300_P_105_20,45,TIME_LIMIT,51503.24904,51459.43393,0.000850725,60.02518463,45,,51467.73565,51465.70399,3.95E-05,41.75661469,,0.1%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.0%
