data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE300_P_100_1,10,TIME_LIMIT,40499.90496008875,39969.28135922178,0.01310184805099874,3600.0702686309814,10.0
IEEE300_P_100_1,15,TIME_LIMIT,39308.168402543524,39155.51951079428,0.003883388566620891,3600.030773162842,15.0
IEEE300_P_100_1,20,TIME_LIMIT,39170.34043072013,39155.51951079372,0.00037837097567795596,3600.031955718994,20.0
IEEE300_P_100_1,25,TIME_LIMIT,39170.49267244859,39155.519510794344,0.0003822561482557057,3600.0256690979004,25.0
IEEE300_P_100_2,10,TIME_LIMIT,42221.69243252101,41766.95352085313,0.010770267260002641,3600.090135574341,10.0
IEEE300_P_100_2,15,TIME_LIMIT,41428.73220679536,41249.48105735496,0.004326735091618216,3600.0521125793457,15.0
IEEE300_P_100_2,20,TIME_LIMIT,41303.24282105188,41249.48105735431,0.001301635417114713,3600.035614013672,20.0
IEEE300_P_100_2,25,TIME_LIMIT,41302.929056873916,41249.48105735409,0.0012940486483713908,3600.033760070801,25.0
IEEE300_P_100_3,10,TIME_LIMIT,41752.772537709454,41269.67921316298,0.011570329230476033,3600.1602821350098,10.0
IEEE300_P_100_3,15,TIME_LIMIT,40736.33957074582,40689.87083054695,0.0011407195808098866,3600.037275314331,15.0
IEEE300_P_100_3,20,OPTIMAL,40692.435608037544,40689.87083054612,6.302836026159256e-5,856.3388824462891,20.0
IEEE300_P_100_3,25,TIME_LIMIT,40694.23459725096,40689.870830546235,0.00010723304536650884,3600.033317565918,25.0
IEEE300_P_100_4,10,TIME_LIMIT,42746.24215202645,42225.09899683541,0.012191554835103322,3600.045129776001,10.0
IEEE300_P_100_4,15,TIME_LIMIT,41939.226469573696,41683.63868716212,0.0060942416903420815,3600.0306358337402,15.0
IEEE300_P_100_4,20,TIME_LIMIT,41693.29855609709,41684.10209835952,0.00022057400244300003,3600.0339374542236,20.0
IEEE300_P_100_4,25,OPTIMAL,41684.768107143136,41683.6386871565,2.709430897482393e-5,1657.9886627197266,25.0
IEEE300_P_100_5,10,TIME_LIMIT,43110.84005443405,42588.7166730911,0.012111185508881038,3600.1176376342773,10.0
IEEE300_P_100_5,15,TIME_LIMIT,42327.35479521423,42168.790919252926,0.0037461324178763643,3600.036081314087,15.0
IEEE300_P_100_5,20,TIME_LIMIT,42217.49284577744,42168.79091925334,0.0011535958968953122,3600.056594848633,20.0
IEEE300_P_100_5,25,OPTIMAL,42198.05790672009,42195.12838681968,6.942309778539129e-5,2591.2395401000977,25.0
IEEE300_P_100_6,10,TIME_LIMIT,43179.69173876118,42733.28155862521,0.01033842906607048,3600.0515670776367,9.999999857659645
IEEE300_P_100_6,15,TIME_LIMIT,42368.931771766045,42088.014464624546,0.006630266456911183,3600.04825592041,15.0
IEEE300_P_100_6,20,TIME_LIMIT,42233.84497160078,42088.014464622654,0.0034529299209245037,3600.0397453308105,20.0
IEEE300_P_100_6,25,OPTIMAL,42201.77260209641,42199.805577067265,4.661000967167609e-5,2929.9633235931396,24.0
IEEE300_P_100_7,10,TIME_LIMIT,43586.50224408484,43087.48086779314,0.011448988806148582,3600.034351348877,10.000000000024443
IEEE300_P_100_7,15,TIME_LIMIT,42646.91487700564,42523.46071259606,0.002894797074199257,3600.0532455444336,15.0
IEEE300_P_100_7,20,TIME_LIMIT,42547.44892163373,42523.46071259515,0.0005637989972739089,3600.0929832458496,20.0
IEEE300_P_100_7,25,TIME_LIMIT,42533.54512820896,42523.460712595144,0.00023709323037667492,3600.042881011963,25.0
IEEE300_P_100_8,10,TIME_LIMIT,40912.96832425741,40399.0617494539,0.01256097017284412,3600.0332260131836,10.0
IEEE300_P_100_8,15,TIME_LIMIT,39934.07246975636,39773.62966272149,0.004017692088788978,3600.061731338501,15.0
IEEE300_P_100_8,20,TIME_LIMIT,39829.987009345095,38718.27820881175,0.0279113523253851,3600.038637161255,20.0
IEEE300_P_100_8,25,TIME_LIMIT,39945.416168800286,38232.436298621156,0.04288301473541956,3600.039484024048,25.0
