data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE300_P_100_17,10,TIME_LIMIT,41113.52321,38174.23328,0.071492047,600.0286579,10
IEEE300_P_100_17,15,TIME_LIMIT,40240.75569,39959.6601,0.006985346,600.021698,15
IEEE300_P_100_17,20,TIME_LIMIT,40025.10598,39959.6601,0.001635121,600.0378036,20
IEEE300_P_100_17,25,OPTIMAL,39993.93491,39959.6601,0.000857,205.1965847,25
IEEE300_P_100_18,10,TIME_LIMIT,40440.83888,37988.60391,0.060637589,600.0448685,10
IEEE300_P_100_18,15,TIME_LIMIT,39437.97743,37812.04172,0.041227665,600.0272846,15
IEEE300_P_100_18,20,OPTIMAL,39271.39584,39233.35185,0.000968746,177.7028084,20
IEEE300_P_100_18,25,OPTIMAL,39240.56517,39227.99868,0.000320242,316.0731735,25
IEEE300_P_100_19,10,TIME_LIMIT,41205.45306,40005.87448,0.029112132,600.0272598,10
IEEE300_P_100_19,15,TIME_LIMIT,40155.89056,39967.8567,0.004682597,600.0183849,15
IEEE300_P_100_19,20,TIME_LIMIT,40124.83272,37775.24069,0.058557055,600.0285721,20
IEEE300_P_100_19,25,TIME_LIMIT,40041.89876,39967.8567,0.001849115,600.0245552,25
IEEE300_P_100_20,10,TIME_LIMIT,41612.84743,39975.54882,0.039345988,600.0409851,10
IEEE300_P_100_20,15,TIME_LIMIT,40811.15955,38339.58725,0.060561188,600.048357,15
IEEE300_P_100_20,20,TIME_LIMIT,40558.10603,38846.20493,0.042208606,600.0340233,20
IEEE300_P_100_20,25,OPTIMAL,40507.35289,40467.05916,0.000994726,295.1416473,25
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
