load_factor,bigM,max_path,max_edge,conv_level,avg_rel_gap,avg_time,num_not_opt,not_opt_gap,,,,
1,ksp,30,9,4,1.66E-05,115.477987,2,0.001513099,,,0.000857288,95.96101403
1.05,ksp,15,5,0,0.027626522,40.63461838,0,NaN,,,,
1.05,ksp,15,5,1,0.027589456,52.29793921,0,NaN,,,,
1.05,ksp,15,5,2,0.027609114,57.20419473,0,NaN,,,,
1.05,ksp,15,5,3,0.001727951,68.45389719,0,NaN,,,,
1.05,ksp,15,5,4,-0.000158693,46.35175533,0,NaN,,,,
1.05,ksp,15,5,5,-7.34E-05,70.05343685,0,NaN,,,,
1.05,ksp,15,7,0,0.027569923,55.83329077,0,NaN,,,,
1.05,ksp,15,7,1,0.027585586,39.66414776,0,NaN,,,,
1.05,ksp,15,7,2,0.027562734,76.9741951,0,NaN,,,,
1.05,ksp,15,7,3,0.001617345,49.44359903,0,NaN,,,,
1.05,ksp,15,7,4,-8.26E-05,76.01786623,0,NaN,,,,
1.05,ksp,15,7,5,-0.000124173,50.41882983,0,NaN,,,,
1.05,ksp,15,9,0,0.027571706,56.656462,0,NaN,,,,
1.05,ksp,15,9,1,0.027591641,43.29313822,0,NaN,,,,
1.05,ksp,15,9,2,0.027565081,78.9062521,0,NaN,,,,
1.05,ksp,15,9,3,0.001638615,46.36525221,0,NaN,,,,
1.05,ksp,15,9,4,-7.35E-05,75.60836019,0,NaN,,,,
1.05,ksp,15,9,5,-8.52E-05,54.74967699,0,NaN,,,,
1.05,ksp,20,5,0,0.027612466,41.84747372,0,NaN,,,,
1.05,ksp,20,5,1,0.027528507,55.01198387,0,NaN,,,,
1.05,ksp,20,5,2,0.027532934,54.14493561,0,NaN,,,,
1.05,ksp,20,5,3,0.001727021,41.37182884,0,NaN,,,,
1.05,ksp,20,5,4,-7.83E-05,61.1661686,0,NaN,,,,
1.05,ksp,20,5,5,-0.000114036,56.09159841,0,NaN,,,,
1.05,ksp,20,7,0,0.027658562,39.49166918,0,NaN,,,,
1.05,ksp,20,7,1,0.027576752,60.17747564,0,NaN,,,,
1.05,ksp,20,7,2,0.027626162,73.52186156,0,NaN,,,,
1.05,ksp,20,7,3,0.001660027,43.58383255,0,NaN,,,,
1.05,ksp,20,7,4,-0.00011472,73.04707718,0,NaN,,,,
1.05,ksp,20,7,5,-3.79E-05,46.53765163,0,NaN,,,,
1.05,ksp,20,9,0,0.027681796,40.05811453,0,NaN,,,,
1.05,ksp,20,9,1,0.027558551,59.85874681,0,NaN,,,,
1.05,ksp,20,9,2,0.027624468,73.82430439,0,NaN,,,,
1.05,ksp,20,9,3,0.00165556,47.14989634,0,NaN,,,,
1.05,ksp,20,9,4,-0.000106163,82.70619288,0,NaN,,,,
1.05,ksp,20,9,5,-4.79E-05,46.75939331,0,NaN,,,,
1.05,ksp,25,5,0,0.027550017,49.47942123,0,NaN,,,,
