,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
10,0.013469037,0.011504212,0.012787376,0.015333071,0.012228254,0.010315897,0.007683095,0.013359345,0.010579617,0.007199877,0.012043201,0.012029394,0.014637369,0.011194323,0.012201755,0.006322681,0.011524316,0.0158488,0.015112435,0.007204567
15,0.003883389,0.003658154,0.00114072,0.004677064,0.002537299,0.003787885,0.002894797,0.006512688,0.001920394,0.002258249,0.001903725,0.003441701,0.003028793,0.002552982,0.003149584,0.002516035,0.003326023,0.004871959,0.003824271,0.005262146
20,0,0,0,0,0,0,0,0,0,0.001489396,0,0,0,0,0,0,0,0.00132663,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001184546,0,0
