data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,obj_val,obj_bound,gap,time,,rel_gap
IEEE300_P_100_10,20,TIME_LIMIT,41433.42323,38325.51644,0.075009655,60.0308857,20,,41461.19377,41337.8811,0.002974171,60.02934074,,-0.1%
IEEE300_P_100_10,25,TIME_LIMIT,41441.94825,38324.82668,0.075216579,60.02013779,25,,41395.47577,41337.8811,0.001391328,60.02766991,,0.1%
IEEE300_P_100_11,10,TIME_LIMIT,44368.13748,37869.75128,0.146465156,60.0213871,10,,44120.22483,37876.93096,0.141506393,60.02739334,,0.6%
IEEE300_P_100_11,15,TIME_LIMIT,41518.47094,37869.75128,0.087881841,60.02321434,15,,40580.50416,40503.25002,0.001903725,60.01386642,,2.3%
IEEE300_P_100_11,20,TIME_LIMIT,40715.05172,37869.75128,0.069883258,60.03512192,20,,40512.02046,40503.25002,0.00021649,60.03020096,,0.5%
IEEE300_P_100_11,25,TIME_LIMIT,40923.10857,37869.75128,0.074612057,60.01123238,25,,40531.93729,40505.60862,0.000649578,60.03463173,,1.0%
IEEE300_P_100_12,10,TIME_LIMIT,45790.55206,38812.50417,0.152390561,60.02766609,10,,43295.501,38914.71031,0.101183508,60.0270977,,5.4%
IEEE300_P_100_12,15,TIME_LIMIT,42495.39004,38812.50417,0.086665539,60.02401924,15,,42437.49477,38949.65887,0.082187601,60.02413177,,0.1%
IEEE300_P_100_12,20,TIME_LIMIT,42475.38257,38812.50417,0.086235325,60.02232742,20,,42156.74959,42109.09328,0.001130455,60.03209114,,0.8%
IEEE300_P_100_12,25,TIME_LIMIT,42143.95723,38812.50417,0.079049365,60.02262115,25,,42147.99387,39108.50873,0.072114586,60.02184296,,0.0%
IEEE300_P_100_13,10,TIME_LIMIT,41963.04264,37860.55528,0.097764297,60.02210045,10,,40717.78609,37920.25902,0.068705284,60.03046036,,3.0%
IEEE300_P_100_13,15,TIME_LIMIT,39992.3279,37860.55528,0.05330454,60.02527046,15,,39704.18713,39384.11733,0.008061361,60.03625107,,0.7%
IEEE300_P_100_13,20,TIME_LIMIT,39658.04887,37886.34879,0.044674414,60.02379036,20,,39402.74497,39384.11733,0.00047275,60.02111816,,0.6%
IEEE300_P_100_13,25,TIME_LIMIT,39946.12233,37860.55528,0.052209499,60.02912521,25,,39406.78351,39384.11733,0.000575185,60.01958466,,1.4%
IEEE300_P_100_14,10,TIME_LIMIT,44224.8708,37859.35922,0.143935109,60.03051567,10,,41433.37649,38065.91405,0.08127415,60.01262093,,6.3%
IEEE300_P_100_14,15,TIME_LIMIT,40873.29102,37859.35922,0.073738418,60.01472473,15,,40388.10489,40279.14096,0.002697921,60.02767181,,1.2%
IEEE300_P_100_14,20,TIME_LIMIT,40466.93913,38065.91405,0.059333005,60.02467728,20,,40321.96672,40279.14096,0.001062095,60.09972763,,0.4%
