,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
10,0.069187993,0.096755552,0.080218689,0.021104757,0.017036747,0.085635783,0.024502484,0.019129749,0.050442349,0.018289621,0.084074037,0.095527118,0.051367756,0.039315559,0.14113535,0.080999324,0.071492047,0.060637589,0.029112132,0.039345988
15,0.038978209,0.089280858,0.058178897,0.006048057,0.004091222,0.009380983,0.004685596,0.012221806,0.002312994,0.006388943,0.001903725,0.014768593,0.003533616,0.00164846,0.003921642,0.002516015,0.006985346,0.041227665,0.004682597,0.060561188
20,0,0.001370918,0,0.076420798,0.002236738,0.003335738,0,0.001584625,0,0.00326978,0.062971299,0,0.036299389,0,0,0.001157992,0.001635121,0,0.058557055,0.042208606
25,0,0.001231297,0,0,0,0.002714968,0.001403392,0.004831698,0,0.001481442,0,0,0.020176199,0,0,0,0,0,0.001849115,0
