obj_val,gap,time,nodes,status,ub
3027.190703337652,0.0,1.3812618255615234,1605,OPTIMAL,true
2791.4300326166517,0.0,2.64453125,4397,OPTIMAL,false
2781.3076675989823,0.0,2.9979286193847656,6885,OPTIMAL,false
2830.467740000002,0.0,2.885709762573242,3582,OPTIMAL,false
2619.6607446974112,0.0,1.5841407775878906,3088,OPTIMAL,true
3079.639149349283,0.0,2.940061569213867,5823,OPTIMAL,false
2852.0963743874845,0.0,2.1928176879882812,2825,OPTIMAL,false
3000.348985980481,0.0,1.547006607055664,3284,OPTIMAL,true
3067.133758732164,0.0,1.7609233856201172,3849,OPTIMAL,false
3016.2084206948034,0.0,4.284891128540039,13914,OPTIMAL,false
3245.835569145493,0.0,2.4030933380126953,5678,OPTIMAL,false
3066.2117399999997,0.0,4.401525497436523,7149,OPTIMAL,false
2786.2357400000064,0.0,3.1399707794189453,2230,OPTIMAL,false
3460.246018778745,0.0,2.368398666381836,3672,OPTIMAL,false
3117.525162495356,0.0,1.9762248992919922,2951,OPTIMAL,false
2834.1760468861467,0.0,1.949533462524414,3596,OPTIMAL,true
2581.6710869007693,0.0,5.405031204223633,9997,OPTIMAL,true
2849.0976657492324,0.0,3.164846420288086,5782,OPTIMAL,false
3116.0817587324336,0.0,1.7493839263916016,3462,OPTIMAL,false
3398.375501258069,0.0,5.710668563842773,12607,OPTIMAL,false
2894.2287846874556,0.0,2.4182071685791016,4177,OPTIMAL,true
2864.3359483922163,0.0,2.684589385986328,5045,OPTIMAL,true
3043.2048515786705,0.0,8.988130569458008,21874,OPTIMAL,false
2834.5116923931937,0.0,2.9018688201904297,5223,OPTIMAL,false
3318.7772197367735,0.0,1.7047080993652344,3226,OPTIMAL,false
2488.539739999247,0.0,6.700000762939453,13656,OPTIMAL,true
2776.2615363086675,0.0,2.917268753051758,3409,OPTIMAL,true
3060.4437400000566,0.0,3.4552841186523438,7148,OPTIMAL,false
3081.809811312766,0.0,2.836589813232422,3455,OPTIMAL,false
3157.875299574388,0.0,2.937162399291992,8723,OPTIMAL,false
